Satellite,NORAD ID,Pass ID,Generation,Timestamp (UTC),Doppler Shift (Hz),Elevation (deg),Azimuth (deg),Distance (km),TLE Age (hours)
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:24,-156029.00231732242,3.112875999550068,198.7014171362342,2351.914059763662,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:25,-156530.95021097423,3.070831179401238,198.55936250260717,2355.9617124017004,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:26,-157030.11719029243,3.0287364672278585,198.41781345652458,2360.022329447376,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:27,-157526.5132807686,2.986592941158935,198.2767687882525,2364.0958390047954,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:28,-158020.14857277885,2.9444016679061864,198.13622727363466,2368.1821694376017,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:29,-158511.03321956625,2.9021637027756055,197.99618767435675,2372.281249374314,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:30,-158999.17743446483,2.8598800897754653,197.85664873841648,2376.393007704441,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:31,-159484.5914888351,2.817551861638391,197.71760920041342,2380.5173735829358,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:32,-159967.28571000905,2.7751800398686974,197.57906778182738,2384.6542764322685,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:33,-160447.27047926423,2.7327656347789584,197.44102319130016,2388.8036459456525,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:34,-160924.55622885036,2.690309645616026,197.30347412519427,2392.9654120816263,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:35,-161399.15344043166,2.647813060564462,197.16641926775148,2397.139505070527,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:36,-161871.07264329537,2.6052768567919475,197.029857291312,2401.3258554171007,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:37,-162340.32441158386,2.56270200055739,196.89378685683698,2405.5243938969006,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:38,-162806.91936263538,2.5200894472359,196.75820661411046,2409.7350515609182,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:39,-163270.86815496138,2.477440141392275,196.62311520204275,2413.957759735488,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:40,-163732.18148608197,2.434755016848735,196.4885112490342,2418.1924500228033,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:41,-164190.87009115965,2.3920349967081216,196.35439337309634,2422.439054305895,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:42,-164646.94473997768,2.349280993500955,196.2207601824809,2426.6975047413493,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:43,-165100.41623611492,2.306493909178418,196.08761027564537,2430.9677337673475,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:44,-165551.29541478318,2.263674635178989,195.9549422416456,2435.249674104407,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:45,-165999.59314055354,2.2208240525531946,195.82275466054148,2439.543258750406,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:46,-166445.32030638933,2.1779430319501216,195.6910461034339,2443.8484209894023,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:47,-166888.4878308297,2.135032433782316,195.55981513305255,2448.1650943825894,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:48,-167329.1066571805,2.092093108205544,195.4290603037541,2452.4932127778807,286.7598810322222
